id;date_iso8601;employee_id;partner_id;amount_cents;status
83;2026-07-06T04:30:00;35;12;3594;refusee
84;2026-07-06T04:45:00;38;16;1304;validee
85;2026-07-06T05:00:00;51;12;1318;validee
86;2026-07-07T05:15:00;32;14;2580;validee
87;2026-07-07T05:30:00;65;11;4482;refusee
88;2026-07-08T05:45:00;27;12;3354;validee
89;2026-07-08T06:00:00;53;15;3320;validee
90;2026-07-09T06:15:00;57;9;1200;validee
91;2026-07-09T06:30:00;50;10;849;validee
92;2026-07-10T06:45:00;63;9;2031;validee
93;2026-07-10T07:00:00;48;8;1968;validee
94;2026-07-11T07:15:00;33;4;3270;validee
95;2026-07-13T07:30:00;36;7;4198;validee
96;2026-07-13T07:45:00;58;11;4444;validee
97;2026-07-13T08:00:00;59;4;3044;validee
98;2026-07-13T08:15:00;38;6;1419;validee
99;2026-07-13T08:30:00;44;7;3778;validee
100;2026-07-13T08:45:00;37;7;1723;validee
101;2026-07-14T09:00:00;59;16;3230;validee
102;2026-07-15T09:15:00;48;9;612;validee
103;2026-07-15T09:30:00;64;10;3348;validee
104;2026-07-16T09:45:00;28;4;773;validee
105;2026-07-16T10:00:00;60;7;1448;validee
106;2026-07-17T10:15:00;54;10;1693;validee
107;2026-07-18T10:30:00;46;8;2646;validee
108;2026-07-19T10:45:00;39;12;2540;validee
109;2026-07-19T11:00:00;23;6;1003;validee
110;2026-07-20T11:15:00;60;10;1395;validee
111;2026-07-20T11:30:00;26;1;4457;validee
112;2026-07-21T11:45:00;36;5;4399;validee
113;2026-07-21T12:00:00;42;9;2019;validee
114;2026-07-22T12:15:00;32;2;2205;refusee
115;2026-07-22T12:30:00;58;2;1375;validee
116;2026-07-23T12:45:00;35;10;3449;refusee
117;2026-07-23T13:00:00;56;5;621;validee
118;2026-07-24T13:15:00;49;16;4540;validee
119;2026-07-24T13:30:00;34;4;3708;refusee
120;2026-07-25T13:45:00;35;1;789;validee
121;2026-07-26T14:00:00;57;10;1073;validee
122;2026-07-26T14:15:00;43;16;2942;validee
123;2026-07-26T14:30:00;25;16;1431;validee
124;2026-07-26T14:45:00;41;15;3891;refusee
125;2026-07-26T15:00:00;39;11;3884;validee
126;2026-07-27T15:15:00;64;6;2440;refusee
127;2026-07-27T15:30:00;56;2;2519;validee
128;2026-07-27T15:45:00;50;9;2983;validee
129;2026-07-28T16:00:00;24;16;988;validee
130;2026-07-28T16:15:00;34;4;1646;validee
131;2026-07-28T16:30:00;41;3;1791;refusee
132;2026-07-29T16:45:00;64;13;3424;refusee
133;2026-07-29T17:00:00;60;16;1928;validee
134;2026-07-31T17:15:00;38;3;4669;refusee
135;2026-07-31T17:30:00;64;2;3405;refusee
136;2026-07-31T17:45:00;36;5;1398;validee
137;2026-07-31T18:00:00;46;5;1973;validee
138;2026-08-01T18:15:00;46;10;2217;validee
139;2026-08-01T18:30:00;29;3;2554;validee
140;2026-08-02T18:45:00;30;8;1078;validee
141;2026-08-02T19:00:00;58;4;2627;validee
142;2026-08-02T19:15:00;46;14;4425;validee
143;2026-08-02T19:30:00;50;8;4537;validee
144;2026-08-02T19:45:00;38;13;4257;refusee
145;2026-08-03T20:00:00;32;15;2329;refusee
146;2026-08-04T20:15:00;22;15;3195;validee
147;2026-08-04T20:30:00;60;10;4540;validee
148;2026-08-04T20:45:00;36;14;1728;refusee
149;2026-08-06T21:00:00;41;10;4288;refusee
150;2026-08-06T21:15:00;61;2;4168;validee
151;2026-08-07T21:30:00;32;4;756;validee
152;2026-08-07T21:45:00;39;7;2080;validee
153;2026-08-07T22:00:00;49;7;3228;refusee
154;2026-08-07T22:15:00;64;9;882;validee
155;2026-08-08T22:30:00;49;3;1485;validee
156;2026-08-08T22:45:00;62;6;1748;validee
157;2026-08-09T23:00:00;32;8;2927;refusee
158;2026-08-09T23:15:00;57;6;1243;validee
159;2026-08-09T23:30:00;52;3;2763;validee
160;2026-08-10T23:45:00;53;6;4172;validee
161;2026-08-11T00:00:00;47;1;3558;validee
162;2026-08-11T00:15:00;22;14;2840;validee
163;2026-08-12T00:30:00;28;15;728;validee
164;2026-08-12T00:45:00;40;16;1210;validee
165;2026-08-12T01:00:00;66;10;4568;validee
166;2026-08-12T01:15:00;56;2;3864;validee
167;2026-08-13T01:30:00;55;8;1631;validee
168;2026-08-13T01:45:00;26;10;2494;validee
169;2026-08-13T02:00:00;55;10;535;validee
170;2026-08-13T02:15:00;49;15;4238;refusee
171;2026-08-14T02:30:00;30;3;1610;validee
172;2026-08-14T02:45:00;40;8;2404;validee
173;2026-08-14T03:00:00;64;9;963;validee
174;2026-08-14T03:15:00;64;7;2890;refusee
175;2026-08-15T03:30:00;47;14;1039;refusee
176;2026-08-15T03:45:00;22;4;2562;refusee
177;2026-08-16T04:00:00;56;8;1095;validee
178;2026-08-16T04:15:00;29;5;2233;validee
179;2026-08-16T04:30:00;66;9;588;validee
180;2026-08-17T04:45:00;56;5;1682;validee
181;2026-08-17T05:00:00;42;3;757;validee
182;2026-08-17T05:15:00;24;2;4256;validee
183;2026-08-17T05:30:00;46;6;4572;validee
184;2026-08-18T05:45:00;59;10;2993;refusee
185;2026-08-22T06:00:00;64;10;4643;refusee
186;2026-08-22T06:15:00;51;15;4638;validee
187;2026-08-23T06:30:00;54;4;4607;validee
188;2026-08-23T06:45:00;36;15;532;validee
189;2026-08-23T07:00:00;51;10;2365;validee
190;2026-08-24T07:15:00;63;13;821;refusee
191;2026-08-25T07:30:00;65;9;3441;refusee
192;2026-08-26T07:45:00;41;16;3253;refusee
193;2026-08-27T08:00:00;61;15;869;validee
194;2026-08-28T08:15:00;65;3;3737;refusee
195;2026-08-28T08:30:00;41;2;2782;refusee
196;2026-08-28T08:45:00;23;14;2250;refusee
197;2026-08-29T09:00:00;64;11;4732;refusee
198;2026-08-29T09:15:00;51;9;2488;validee
199;2026-08-30T09:30:00;64;1;1701;refusee
200;2026-08-31T09:45:00;56;3;3899;refusee
